Employee_Name,EmpID,MarriedID,MaritalStatusID,Gender,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,DistanceFromHome,Age,Attrition,BusinessTravel,Education,EducationField,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
"Baczenski, Rachael  ",10252,1,1,Male,5,5,3,1,54670,1,19,Production Technician I,MA,1902,01/12/74,F,Married,US Citizen,1/10/2011,1/12/2017,Another position,Voluntarily Terminated,Production       ,David Stanley,14,Diversity Job Fair,Fully Meets,4.2,4,0,1/30/2016,0,12,20,35,No,Travel_Rarely,3,Medical,2,2426,16479,0,No,13,3,80,1,6,5,3,5,4,0,3
"Barbara, Thomas",10242,1,1,Female,5,5,3,1,47211,1,19,Production Technician I,MA,2062,02/21/74,M ,Married,US Citizen,4/2/2012,9/19/2016,unhappy,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,4.2,3,0,5/6/2016,0,15,7,29,No,Travel_Rarely,2,Life Sciences,3,4193,12682,0,Yes,12,3,80,0,10,3,3,9,5,0,8
"Barbossa, Hector",10012,0,2,Male,1,3,4,1,92328,0,9,Data Analyst,TX,78230,07/04/88,M ,Divorced,US Citizen,11/10/2014,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,Diversity Job Fair,Exceeds,4.28,4,5,2/25/2019,0,9,66,31,No,Travel_Rarely,1,Life Sciences,3,2911,15170,1,No,17,3,80,1,5,1,2,5,2,4,3
"Barone, Francesco  A",10265,0,0,Male,1,5,3,0,58709,0,19,Production Technician I,MA,1810,07/20/83,M ,Single,US Citizen,2/20/2012,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.6,4,0,2/14/2019,0,7,2,34,No,Travel_Rarely,2,Medical,4,2661,8758,0,No,11,3,80,1,3,2,3,2,2,1,2
"Barton, Nader",10066,0,2,Male,5,5,3,0,52505,1,19,Production Technician I,MA,2747,07/15/77,M ,Divorced,US Citizen,9/24/2012,4/6/2017,Another position,Voluntarily Terminated,Production       ,Michael Albert,22,On-line Web application,Fully Meets,5,5,0,3/2/2017,0,1,65,28,Yes,Travel_Rarely,3,Life Sciences,3,2028,12947,5,Yes,14,3,80,0,6,4,3,4,2,0,3
"Bates, Norman",10061,0,0,Female,4,5,3,0,57834,1,19,Production Technician I,MA,2050,10/18/81,M ,Single,US Citizen,2/21/2011,8/4/2017,attendance,Terminated for Cause,Production       ,Kelley Spirea,18,Google Search,Fully Meets,5,4,0,4/5/2017,0,20,36,29,No,Travel_Rarely,4,Life Sciences,1,9980,10195,1,No,11,3,80,1,10,1,3,10,9,8,8
"Beak, Kimberly  ",10023,1,1,Male,2,5,4,0,70131,0,20,Production Technician II,MA,2145,04/17/66,F,Married,US Citizen,7/21/2016,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Employee Referral,Exceeds,4.4,3,0,1/14/2019,0,16,76,32,No,Travel_Rarely,2,Life Sciences,2,3298,15053,0,Yes,12,3,80,2,7,5,2,6,2,0,5
"Beatrice, Courtney ",10055,0,0,Male,1,5,3,0,59026,0,19,Production Technician I,MA,1915,10/27/70,F,Single,Eligible NonCitizen,4/4/2011,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Google Search,Fully Meets,5,5,0,1/14/2019,0,12,67,22,No,Non-Travel,2,Medical,4,2935,7324,1,Yes,13,3,80,2,1,2,2,1,0,0,0
"Becker, Renee",10245,0,0,Female,4,3,3,0,110000,1,8,Database Administrator,MA,2026,04/04/86,F,Single,US Citizen,7/7/2014,9/12/2015,performance,Terminated for Cause,IT/IS,Simon Roup,4,Google Search,Fully Meets,4.5,4,5,1/15/2015,0,8,67,53,No,Travel_Rarely,4,Life Sciences,4,15427,22021,2,No,16,3,80,0,31,3,3,25,8,3,7
"Becker, Scott",10277,0,0,Male,3,5,3,0,53250,0,19,Production Technician I,MA,2452,04/06/79,M ,Single,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Production       ,Webster Butler,,LinkedIn,Fully Meets,4.2,4,0,1/11/2019,0,13,83,38,No,Travel_Rarely,3,Life Sciences,4,3944,4306,5,Yes,11,3,80,0,6,3,3,3,2,1,2
"Bernstein, Sean",10046,0,0,Female,1,5,3,0,51044,0,19,Production Technician I,MA,2072,12/22/70,M ,Single,US Citizen,4/2/2012,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Google Search,Fully Meets,5,3,0,1/14/2019,0,13,14,24,No,Non-Travel,2,Other,3,4011,8232,0,No,18,3,80,1,5,5,2,4,2,1,3
"Biden, Lowan  M",10226,0,2,Male,1,5,3,0,64919,0,19,Production Technician I,MA,2027,12/27/58,F,Divorced,US Citizen,8/19/2013,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.2,3,0,1/10/2019,0,2,93,36,Yes,Travel_Rarely,4,Life Sciences,1,3407,6986,7,No,23,4,80,0,10,4,3,5,3,0,3
"Billis, Helen",10003,1,1,Female,1,5,4,0,62910,0,19,Production Technician I,MA,2031,09/01/89,F,Married,US Citizen,7/7/2014,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Indeed,Exceeds,5,3,0,2/27/2019,0,19,23,34,No,Travel_Rarely,4,Life Sciences,2,11994,21293,0,No,11,3,80,0,13,4,3,12,6,2,11
"Blount, Dianna",10294,0,0,Male,1,5,2,0,66441,0,20,Production Technician II,MA,2171,09/21/90,F,Single,US Citizen,4/4/2011,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,CareerBuilder,Needs Improvement,2,3,0,2/27/2019,2,3,85,21,No,Travel_Rarely,2,Life Sciences,4,1232,19281,1,No,14,3,80,0,0,6,3,0,0,0,0
"Bondwell, Betsy",10267,0,0,Male,5,5,3,0,57815,1,20,Production Technician II,MA,2210,01/16/67,F,Single,US Citizen,1/10/2011,4/4/2014,career change,Voluntarily Terminated,Production       ,Elijiah Gray,16,Google Search,Fully Meets,4.8,5,0,3/4/2014,0,5,61,34,Yes,Travel_Rarely,1,Medical,1,2960,17102,2,No,11,3,80,0,8,2,3,4,2,1,3
"Booth, Frank",10199,0,0,Female,4,3,3,0,103613,1,30,Enterprise Architect,CT,6033,07/30/64,M ,Single,US Citizen,2/17/2014,2/19/2016,Learned that he is a gangster,Terminated for Cause,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,3.5,5,7,1/10/2016,0,2,73,53,No,Travel_Rarely,3,Other,3,19094,10735,4,No,11,3,80,1,26,3,2,14,13,4,8
"Boutwell, Bonalyn",10081,1,1,Female,1,1,3,1,106367,0,26,Sr. Accountant,MA,2468,04/04/87,F,Married,US Citizen,2/16/2015,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,3,Diversity Job Fair,Fully Meets,5,4,3,2/18/2019,0,4,60,32,Yes,Travel_Frequently,1,Life Sciences,1,3919,4681,1,Yes,22,4,80,0,10,5,3,10,2,6,7
"Bozzi, Charles",10175,0,0,Male,5,5,3,0,74312,1,18,Production Manager,MA,1901,03/10/70,M ,Single,US Citizen,9/30/2013,8/7/2014,retiring,Voluntarily Terminated,Production       ,Janet King,2,Indeed,Fully Meets,3.39,3,0,2/20/2014,0,14,91,42,No,Travel_Rarely,4,Marketing,2,6825,21173,0,No,11,3,80,1,10,2,3,9,7,4,2
"Brill, Donna",10177,1,1,Female,5,5,3,0,53492,1,19,Production Technician I,MA,1701,08/24/90,F,Married,US Citizen,4/2/2012,6/15/2013,Another position,Voluntarily Terminated,Production       ,David Stanley,14,Google Search,Fully Meets,3.35,4,0,3/4/2013,0,6,92,44,No,Travel_Rarely,4,Medical,4,10248,2094,3,No,14,3,80,1,24,4,3,22,6,5,17
"Brown, Mia",10238,1,1,Female,1,1,3,1,63000,0,1,Accountant I,MA,1450,11/24/87,F,Married,US Citizen,10/27/2008,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,1,Diversity Job Fair,Fully Meets,4.5,2,6,1/15/2019,0,14,59,46,No,Travel_Rarely,4,Marketing,1,18947,22822,3,No,12,3,80,0,22,2,2,2,2,2,1
"Buccheri, Joseph  ",10184,0,0,Male,1,5,3,0,65288,0,20,Production Technician II,MA,1013,07/28/83,M ,Single,US Citizen,9/29/2014,,N/A-StillEmployed,Active,Production       ,Webster Butler,,Google Search,Fully Meets,3.19,3,0,2/1/2019,0,9,91,33,No,Travel_Rarely,3,Medical,4,2496,6670,4,No,11,3,80,0,7,3,3,1,1,0,0
"Bugali, Josephine ",10203,0,3,Male,3,5,3,1,64375,0,19,Production Technician I,MA,2043,10/30/69,F,Separated,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,3.5,5,0,1/21/2019,0,17,5,44,No,Travel_Rarely,4,Other,4,6465,19121,2,Yes,13,3,80,0,9,5,4,4,2,1,3
"Bunbury, Jessica",10188,1,1,Male,5,6,3,0,74326,1,3,Area Sales Manager,VA,21851,06/01/64,F,Married,Eligible NonCitizen,8/15/2011,8/2/2014,Another position,Voluntarily Terminated,Sales,John Smith,17,Google Search,Fully Meets,3.14,5,0,2/10/2013,1,19,80,30,No,Travel_Rarely,2,Medical,3,2206,16117,1,No,13,3,80,0,10,5,3,10,0,1,8
"Burke, Joelle",10107,0,0,Male,1,5,3,0,63763,0,20,Production Technician II,MA,2148,03/02/80,F,Single,US Citizen,3/5/2012,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Employee Referral,Fully Meets,4.51,4,0,2/21/2019,0,3,61,39,Yes,Travel_Rarely,3,Technical Degree,4,2086,3335,3,No,14,3,80,1,19,6,4,1,0,0,0
"Burkett, Benjamin ",10181,1,1,Male,1,5,3,0,62162,0,20,Production Technician II,MA,1890,08/19/77,M ,Married,US Citizen,4/4/2011,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,3.25,5,0,1/14/2019,0,15,13,24,Yes,Travel_Rarely,3,Medical,4,2293,3020,2,Yes,16,3,80,1,6,2,2,2,0,2,0
"Cady, Max ",10150,0,0,Female,1,4,3,0,77692,0,25,Software Engineering Manager,MA,2184,11/22/66,M ,Single,US Citizen,8/15/2011,,N/A-StillEmployed,Active,Software Engineering,Jennifer Zamora,5,Google Search,Fully Meets,3.84,3,5,1/21/2019,0,4,25,43,No,Travel_Rarely,2,Medical,3,2645,21923,1,No,12,3,80,2,6,3,2,5,3,1,4
"Candie, Calvin",10001,0,0,Male,1,5,4,0,72640,0,18,Production Manager,MA,2169,08/09/83,M ,Single,US Citizen,1/28/2016,,N/A-StillEmployed,Active,Production       ,Janet King,2,Indeed,Exceeds,5,3,0,2/22/2019,0,14,66,50,Yes,Travel_Rarely,2,Marketing,3,2683,3810,1,Yes,14,3,80,0,3,2,3,3,2,0,2
"Carabbio, Judith",10085,0,0,Female,1,4,3,0,93396,0,24,Software Engineer,MA,2132,04/05/87,F,Single,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,Indeed,Fully Meets,4.96,4,6,1/30/2019,0,3,54,35,No,Travel_Rarely,3,Marketing,4,2014,9687,1,No,13,3,80,0,2,3,3,2,2,2,2
"Carey, Michael  ",10115,0,0,Female,1,5,3,0,52846,0,19,Production Technician I,MA,1701,02/02/83,M ,Single,US Citizen,3/31/2014,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.43,3,0,2/1/2019,0,14,82,36,No,Travel_Rarely,4,Life Sciences,1,3419,13072,9,Yes,14,3,80,1,6,3,4,1,1,0,0
"Carr, Claudia  N",10082,0,0,Female,2,3,3,0,100031,0,27,Sr. DBA,MA,1886,06/06/86,F,Single,US Citizen,6/30/2016,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,5,5,6,2/18/2019,0,7,83,33,No,Travel_Frequently,3,Life Sciences,1,5376,3193,2,No,19,3,80,2,10,3,3,5,3,1,3
"Carter, Michelle ",10040,0,0,Male,1,6,3,0,71860,0,3,Area Sales Manager,VT,5664,05/15/63,F,Single,US Citizen,8/18/2014,,N/A-StillEmployed,Active,Sales,John Smith,17,Indeed,Fully Meets,5,5,0,1/21/2019,0,7,52,35,No,Travel_Rarely,2,Other,4,1951,10910,1,No,12,3,80,1,1,3,3,1,0,0,0
"Chace, Beatrice ",10067,0,0,Female,1,5,3,0,61656,0,19,Production Technician I,MA,2763,01/02/51,F,Single,US Citizen,9/29/2014,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Google Search,Fully Meets,5,4,0,2/12/2019,0,11,83,27,No,Travel_Rarely,4,Life Sciences,1,2341,19715,1,No,13,3,80,1,1,6,3,1,0,0,0
"Champaigne, Brian",10108,1,1,Male,1,3,3,0,110929,0,5,BI Director,MA,2045,02/09/72,M ,Married,US Citizen,9/6/2016,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,Indeed,Fully Meets,4.5,5,7,1/15/2019,0,8,73,26,Yes,Travel_Rarely,3,Life Sciences,3,2293,10558,1,No,12,3,80,0,1,2,2,1,0,0,1
"Chan, Lin",10210,0,0,Male,1,5,3,0,54237,0,19,Production Technician I,MA,2170,02/12/79,F,Single,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,3.3,4,0,2/19/2019,0,11,63,27,No,Travel_Frequently,3,Life Sciences,3,8726,2975,1,No,15,3,80,0,9,0,3,9,8,1,7
"Chang, Donovan  E",10154,0,0,Female,1,5,3,0,60380,0,19,Production Technician I,MA,1845,08/24/83,M ,Single,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Production       ,Webster Butler,,LinkedIn,Fully Meets,3.8,5,0,1/14/2019,0,4,44,30,No,Travel_Frequently,2,Medical,4,4011,10781,1,No,23,4,80,0,12,2,3,12,8,3,7
"Chigurh, Anton",10200,0,0,Female,1,6,3,0,66808,0,3,Area Sales Manager,TX,78207,06/11/70,M ,Single,Eligible NonCitizen,5/14/2012,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Employee Referral,Fully Meets,3,5,0,1/19/2019,0,17,9,41,Yes,Travel_Rarely,3,Technical Degree,3,19545,16280,1,No,12,3,80,0,23,0,3,22,15,15,8
"Chivukula, Enola",10240,0,0,Male,5,5,3,0,64786,1,19,Production Technician I,MA,1775,08/27/83,F,Single,US Citizen,6/27/2011,11/15/2015,relocation out of area,Voluntarily Terminated,Production       ,Amy Dunn,11,Indeed,Fully Meets,4.3,4,0,3/10/2015,0,3,92,34,No,Non-Travel,4,Marketing,3,4568,10034,0,No,20,4,80,0,10,2,3,9,5,8,7
"Cierpiszewski, Caroline  ",10168,0,0,Male,1,5,3,0,64816,0,19,Production Technician I,MA,2044,05/31/88,F,Single,Non-Citizen,10/3/2011,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,3.58,5,0,1/30/2019,0,3,54,37,No,Travel_Rarely,2,Life Sciences,2,3022,10227,4,No,21,4,80,0,8,1,3,1,0,0,0
"Clayton, Rick",10220,0,0,Male,1,3,3,0,68678,0,14,IT Support,MA,2170,09/05/85,M ,Single,US Citizen,9/5/2012,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,6,Indeed,Fully Meets,4.7,3,6,2/27/2019,0,2,35,46,No,Travel_Frequently,4,Marketing,4,5772,20445,4,Yes,21,4,80,0,14,4,3,9,6,0,8
"Cloninger, Jennifer",10275,1,1,Male,5,5,3,0,64066,1,20,Production Technician II,MA,1752,08/31/81,F,Married,US Citizen,5/16/2011,1/7/2013,unhappy,Voluntarily Terminated,Production       ,Brannon Miller,12,Google Search,Fully Meets,4.2,5,0,5/3/2012,0,9,15,35,No,Travel_Rarely,1,Life Sciences,4,2269,4892,1,No,19,3,80,0,1,2,3,1,0,0,1
"Close, Phil",10269,1,1,Male,5,5,3,0,59369,1,20,Production Technician II,MA,2169,11/25/78,M ,Married,US Citizen,8/30/2010,9/26/2011,career change,Voluntarily Terminated,Production       ,David Stanley,14,Indeed,Fully Meets,4.2,4,0,5/4/2011,0,6,79,48,Yes,Travel_Rarely,2,Life Sciences,3,5381,19294,9,Yes,13,3,80,0,23,2,3,1,0,0,0
"Clukey, Elijian",10029,1,1,Male,2,5,4,0,50373,0,19,Production Technician I,MA,2134,08/26/80,M ,Married,US Citizen,7/6/2016,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Employee Referral,Exceeds,4.1,4,0,2/28/2019,0,5,47,28,Yes,Travel_Rarely,4,Technical Degree,3,3441,11179,1,Yes,13,3,80,0,2,3,2,2,2,2,2
"Cockel, James",10261,0,0,Female,1,5,3,0,63108,0,19,Production Technician I,MA,2452,09/08/77,M ,Single,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Production       ,David Stanley,14,Employee Referral,Fully Meets,4.4,5,0,1/14/2019,0,3,65,44,No,Travel_Rarely,5,Marketing,1,5454,4009,5,Yes,21,4,80,1,9,2,2,4,3,1,3
"Cole, Spencer",10292,0,0,Male,4,5,2,0,59144,1,19,Production Technician I,MA,1880,08/12/79,M ,Single,US Citizen,7/11/2011,9/23/2016,performance,Terminated for Cause,Production       ,Kissy Sullivan,20,LinkedIn,Needs Improvement,2,3,0,5/1/2016,5,16,80,35,No,Non-Travel,2,Medical,1,9884,8302,2,Yes,13,3,80,1,10,3,3,4,0,2,3
"Corleone, Michael",10282,0,2,Female,1,5,2,0,68051,0,18,Production Manager,MA,1803,12/17/75,M ,Divorced,US Citizen,7/20/2010,,N/A-StillEmployed,Active,Production       ,Janet King,2,CareerBuilder,Needs Improvement,4.13,2,0,1/14/2019,3,3,11,26,No,Travel_Rarely,3,Marketing,4,4157,21436,7,Yes,19,3,80,1,5,2,2,2,2,0,0
"Corleone, Vito",10019,0,0,Female,1,5,4,0,170500,0,10,Director of Operations,MA,2030,03/19/83,M ,Single,US Citizen,1/5/2009,,N/A-StillEmployed,Active,Production       ,Janet King,2,Indeed,Exceeds,3.7,5,0,2/4/2019,0,15,54,33,No,Travel_Frequently,2,Life Sciences,4,13458,15146,1,Yes,12,3,80,0,15,1,3,15,14,8,12
"Cornett, Lisa ",10094,1,1,Male,1,5,3,0,63381,0,19,Production Technician I,MA,2189,03/31/77,F,Married,US Citizen,1/5/2015,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Indeed,Fully Meets,4.73,5,0,2/14/2019,0,6,7,35,No,Travel_Frequently,5,Life Sciences,1,9069,11031,1,No,22,4,80,1,9,3,2,9,8,1,8
"Costello, Frank",10193,1,1,Female,1,3,3,0,83552,0,9,Data Analyst,MA,1810,08/26/86,M ,Married,US Citizen,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,Indeed,Fully Meets,3.04,3,6,1/22/2019,0,2,72,35,No,Travel_Rarely,4,Medical,1,4014,16002,3,Yes,15,3,80,1,4,3,3,2,2,2,2
"Crimmings,   Jean",10132,0,0,Male,2,5,3,0,56149,0,19,Production Technician I,MA,1821,04/10/87,F,Single,US Citizen,7/6/2016,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Fully Meets,4.12,5,0,1/28/2019,0,15,9,31,No,Travel_Rarely,4,Life Sciences,4,5915,9528,3,No,22,4,80,1,10,3,2,7,7,1,7
"Cross, Noah",10083,0,0,Male,1,3,3,0,92329,0,28,Sr. Network Engineer,CT,6278,09/09/65,M ,Single,US Citizen,11/10/2014,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,5,3,4,1/2/2019,0,5,28,37,No,Travel_Rarely,4,Life Sciences,3,5993,2689,1,No,18,3,80,1,7,2,4,7,5,0,7
"Daneault, Lynn",10099,0,0,Male,1,6,3,0,65729,0,21,Sales Manager,VT,5473,04/19/90,F,Single,US Citizen,5/5/2014,,N/A-StillEmployed,Active,Sales,Debra Houlihan,15,Indeed,Fully Meets,4.62,4,0,1/24/2019,0,8,80,32,No,Travel_Rarely,3,Medical,4,6162,10877,1,Yes,22,4,80,1,9,3,3,9,8,7,8
"Daniele, Ann  ",10212,1,1,Female,3,3,3,0,85028,0,28,Sr. Network Engineer,CT,6033,01/18/52,F,Married,US Citizen,11/10/2014,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,LinkedIn,Fully Meets,3.1,5,8,2/12/2019,0,19,43,38,No,Travel_Frequently,5,Life Sciences,4,2406,5456,1,No,11,3,80,0,10,2,3,10,3,9,9
"Darson, Jene'ya ",10056,1,1,Female,1,5,3,0,57583,0,19,Production Technician I,MA,2110,11/05/78,F,Married,US Citizen,7/2/2012,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,5,3,0,2/25/2019,0,1,44,50,No,Travel_Rarely,2,Medical,3,18740,16701,5,Yes,12,3,80,1,29,2,2,27,3,13,8
"Davis, Daniel",10143,0,0,Female,1,5,3,0,56294,0,20,Production Technician II,MA,2458,09/14/79,M ,Single,Eligible NonCitizen,11/7/2011,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,3.96,4,0,2/27/2019,0,6,38,59,No,Travel_Rarely,3,Life Sciences,1,7637,2354,7,No,11,3,80,0,28,3,2,21,16,7,9
"Dee, Randy",10311,1,1,Female,1,6,1,0,56991,0,19,Production Technician I,MA,2138,04/15/88,M ,Married,US Citizen,7/9/2018,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Indeed,Fully Meets,4.3,4,3,1/31/2019,2,2,77,36,No,Travel_Rarely,3,Technical Degree,3,10096,8202,1,No,13,3,80,3,17,2,3,17,14,12,8
"DeGweck,  James",10070,1,1,Female,5,5,3,0,55722,1,19,Production Technician I,MA,1810,10/31/77,M ,Married,US Citizen,5/16/2011,6/8/2016,unhappy,Voluntarily Terminated,Production       ,Webster Butler,39,Indeed,Fully Meets,5,4,0,4/2/2016,0,14,64,55,No,Travel_Rarely,3,Medical,3,14756,19730,2,Yes,14,3,80,3,21,2,3,5,0,0,2
"Del Bosque, Keyla",10155,0,0,Male,1,4,3,0,101199,0,24,Software Engineer,MA,2176,07/05/79,F,Single,US Citizen,1/9/2012,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,CareerBuilder,Fully Meets,3.79,5,5,1/25/2019,0,8,47,36,No,Travel_Frequently,3,Life Sciences,2,6499,22656,1,No,13,3,80,0,6,3,3,6,5,0,3
